1,Charlie Wilson Silva,202 Maple St,charlie.wilson@example.com,555-7890
2,Eva smith,400 Cedar St,eva.davis@example.br,555-1234
3,Frank Miller,404 Birch St,evaristocordas@gmail.com,555-6789
4,Grace Turner,505 Walnut St,grace.turner@example.com,555-1234
5,Henry Lee,606 Pine St,henry.lee@example.com,555-5678
6,Isabel Taylor,707 Oak St,isabel.taylor@example.com,555-901217,Pamela Clark,505 Cedar St,pamela.clark@example.com,555-9012
7,Quincy Scott,606 Birch St,quincy.scott@example.com,555-3456
8,Rachel Green,707 Walnut St,rachel.green@example.com,555-7890
9,Steve Turner,808 Oak St,steve.turner@example.com,555-2345
10,Fabio Weck,9898 9st SW,fabio.weck@gmail.com,999-888-7878
